patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quý cô Mai Trần,127160723391,26/06/1954,0991023763,bdang@example.org,"338 Bà Hương Nguyễn, 895667",Tiểu đường,5.61,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Hồng Bùi,551626153701,27/08/1948,0913950156,inguyen@example.com,"18 Bà Ngọc Nguyễn, 338968",Tiểu đường,11.25,Vũ Phạm,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,Cô Duyên Dương,259704349353,03/01/1964,0990580714,lejane@example.net,"64 Quý cô Ánh Phạm, 380746",Khỏe mạnh,6.17,Lâm Hoàng,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,An Đức Hoàngý An Đức Hoàng,525516906510,18/07/1971,0979906092,jane17@example.com,"6 Thành Đức Phạm, 214975",Huyết áp cao,10.13,Chị Hải Bùi,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,Anh Mai Dương,674058128888,31/01/1951,0953391323,tranjohn@example.net,"4 Quý cô Nhật Đặng, 665579",Huyết áp cao,8.58,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Chị Hồng Vũ,867202743832,10/04/1968,0974687623,johnpham@example.org,"Châu Hải Lê89 Châu Hải Lê, 847581",Tim mạch,7.96,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Quý cô Bảo Đặng,682696096867,10/05/1938,0946425384,johnpham@example.net,"105 Tùng Hoàng, 238739",Khỏe mạnh,4.91,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Ông Hoàng Dương,319200843555,12/11/1942,0930338274,dangjane@example.org,"338 Thành Xuân Bùi, 179046",Tim mạch,4.08,Ông Hưng Mai,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,Hà Đặng,857529398520,02/01/2001,0910810004,john28@example.org,"74 Anh Hoàng, 161324",Huyết áp cao,11.06,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Huy Trí Vũ,020050503274,13/10/1960,0905482511,jane37@example.net,"939 Dương Lê, 802258",Tim mạch,4.97,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Nhiên Lê,639586705252,06/02/1949,0913957125,vdang@example.net,"354 Duyên Hoàng, 377312",Tiểu đường,7.21,Hà Mai,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Ông Minh Vũ,429475633773,25/12/2001,0933223925,hoangjohn@example.com,"427 Thành Trí Nguyễn, 137778",Tim mạch,10.57,Nhiên Trí Bùi,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Bác Thành Dương,699969547392,31/01/1964,0995727801,johnhoang@example.net,"2 Bà Bảo Mai, 872343",Tim mạch,9.72,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ông Minh Nguyễn,407027802434,07/10/1965,0944630756,john24@example.com,"036 Quang Văn Dương, 634150",Tiểu đường,9.16,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Bùi,500613171907,21/08/1994,0930745055,janebui@example.net,"06 Bảo Hải Bùi, 446239",Khỏe mạnh,4.74,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Anh Dương,940837982956,08/08/1961,0988521698,dmai@example.org,"80 Cô Nhật Mai, 563246",Tiểu đường,10.34,Anh Minh Dương,04/06/2026
